
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_ray
	# fitting method     	= differential evolution
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# generations        	= 122 + 1
	# function evals     	= 22260
	# fit duration       	= 62862.06 seconds
	# chi-square         	= 0.00029753
	# reduced chi-square 	= 0.00000208
#Variables----------------------------------------------------------------------
	# c11 : 89.757 GPa (init = [[70, 100], GPa])
	# c12 : 25.276 GPa (init = [[10, 40], GPa])
	# c13 : 40.987 GPa (init = [[25, 55], GPa])
	# c22 : 143.935 GPa (init = [[125, 155], GPa])
	# c23 : 31.839 GPa (init = [[15, 60], GPa])
	# c33 : 95.988 GPa (init = [[75, 105], GPa])
	# c44 : 28.099 GPa (init = [[15, 45], GPa])
	# c55 : 53.402 GPa (init = [[37, 67], GPa])
	# c66 : 30.594 GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : -86.59120000 GPa
	# angle_y : -75.20310000 GPa
	# angle_z : -64.15210000 GPa

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
130     4.787429     4.78081      0.138        1.0     0.266411     -0.015783    -0.129936    0.148348     -0.047895    0.259242     0.203038     0.129506     0.187069     
131     4.801277     4.804639     0.07         1.0     0.237881     -0.025568    -0.110304    0.165475     -0.035188    0.216803     0.192861     0.156236     0.201804     
132     4.813048     4.820105     0.146        1.0     0.234861     -0.003842    -0.129106    0.115774     -0.038572    0.228435     0.283787     0.143418     0.165247     
133     4.846635     4.847813     0.024        1.0     0.271506     0.000671     -0.183183    0.096601     -0.041858    0.330198     0.143969     0.139904     0.242191     
134     4.850207     4.853383     0.065        1.0     0.197774     -0.021469    -0.080536    0.220777     -0.049469    0.204779     0.158035     0.122822     0.247287     
135     4.864017     4.864887     0.018        1.0     0.269311     -0.018166    -0.130227    0.108672     -0.025259    0.20111      0.122071     0.13632      0.336167     
136     4.875313     4.87422      0.022        1.0     0.267664     -0.006189    -0.151187    0.136312     -0.049569    0.295702     0.151987     0.156711     0.198569     
137     4.881491     4.885627     0.085        1.0     0.221934     -0.006388    -0.136435    0.129074     -0.038176    0.260481     0.270175     0.117204     0.182132     
138     4.897852     4.896384     0.03         1.0     0.288744     -0.020203    -0.149895    0.142275     -0.029344    0.275701     0.13091      0.176271     0.185541     
139     4.913091     4.909452     0.074        1.0     0.253556     -0.009957    -0.146169    0.12268      -0.034289    0.261072     0.231744     0.145615     0.175748     
140     4.938223     4.940843     0.053        1.0     0.298861     -0.029191    -0.12751     0.16725      -0.044544    0.231154     0.186287     0.15051      0.167182     
141     4.956274     4.960405     0.083        1.0     0.217337     -0.023091    -0.093922    0.161919     -0.039976    0.209492     0.235264     0.142659     0.190318     
142     4.961676     4.964203     0.051        1.0     0.272393     -0.005505    -0.163222    0.094797     -0.020699    0.228403     0.237707     0.129303     0.226821     
143     4.983003     4.981726     0.026        1.0     0.24965      -0.020701    -0.122116    0.144763     -0.02235     0.232931     0.187295     0.201261     0.149266     
144     4.988461     4.994235     0.116        1.0     0.264603     -0.015125    -0.157265    0.109501     -0.021158    0.268244     0.162348     0.182007     0.206845     
145     4.994383     5.005486     0.222        1.0     0.199418     -0.003774    -0.113259    0.116548     -0.039655    0.22015      0.183241     0.146003     0.291328     
