
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_lmfit
	# fitting method     	= leastsq
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# function evals     	= 94
	# fit duration       	= 1305.79 seconds
	# chi-square         	= 0.00034241
	# reduced chi-square 	= 0.00000239
#Variables----------------------------------------------------------------------
	# c11 : (89.658 +- 0.015) GPa (init = [[70, 100], GPa])
	# c12 : (25.277 +- 0.001) GPa (init = [[10, 40], GPa])
	# c13 : (40.997 +- 0.003) GPa (init = [[25, 55], GPa])
	# c22 : (143.989 +- 0.016) GPa (init = [[125, 155], GPa])
	# c23 : (31.981 +- 0.013) GPa (init = [[15, 60], GPa])
	# c33 : (95.898 +- 0.028) GPa (init = [[75, 105], GPa])
	# c44 : (28.053 +- 0.006) GPa (init = [[15, 45], GPa])
	# c55 : (53.406 +- 0.003) GPa (init = [[37, 67], GPa])
	# c66 : (30.585 +- 0.002) GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 88.97059856 deg
	# angle_y : 76.58791088 deg
	# angle_z : 60.33777973 deg

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
75      3.818532     3.814478     0.106        1.0     0.235367     -0.010979    -0.129521    0.169674     -0.017546    0.213132     0.253589     0.075472     0.210812     
76      3.825958     3.826144     0.005        1.0     0.350915     0.00024      -0.222639    0.087939     -0.01334     0.286829     0.212803     0.096788     0.200464     
77      3.839403     3.840875     0.038        1.0     0.228203     -0.021663    -0.111891    0.134686     -0.009702    0.187671     0.162879     0.148159     0.281658     
78      3.840282     3.850462     0.264        1.0     0.309063     -0.008896    -0.178596    0.12204      -0.036967    0.286638     0.228758     0.091521     0.186439     
79      3.894245     3.896119     0.048        1.0     0.210093     -0.034215    -0.090348    0.197227     -0.019243    0.183485     0.210792     0.114111     0.228098     
80      3.914239     3.913877     0.009        1.0     0.34367      -0.017866    -0.192894    0.103587     0.002199     0.248905     0.192365     0.157365     0.162669     
81      3.936742     3.934915     0.046        1.0     0.246223     -0.014333    -0.124706    0.199783     -0.051754    0.241379     0.144242     0.096021     0.263147     
82      3.949234     3.959283     0.254        1.0     0.228051     -0.006586    -0.126549    0.13919      -0.039611    0.226107     0.232929     0.12467      0.221799     
83      3.970824     3.965782     0.127        1.0     0.207098     -0.014675    -0.092705    0.170248     -0.011178    0.119281     0.204247     0.154901     0.262782     
84      3.980431     3.98699      0.164        1.0     0.331112     -0.038909    -0.124972    0.168698     -0.030415    0.213233     0.133226     0.144609     0.203419     
85      3.986647     3.998497     0.296        1.0     0.283512     -0.001432    -0.172884    0.110239     -0.044166    0.29505      0.207453     0.115663     0.206565     
86      4.014422     4.014173     0.006        1.0     0.292225     -0.014316    -0.175652    0.120868     -0.015186    0.237641     0.23243      0.152976     0.169015     
87      4.06185      4.053163     0.214        1.0     0.274514     -0.00891     -0.146567    0.070768     -0.013134    0.21515      0.207722     0.272495     0.127962     
88      4.071127     4.071452     0.008        1.0     0.284332     -0.009401    -0.148797    0.093387     -0.017196    0.218605     0.160841     0.142231     0.275997     
89      4.079417     4.086913     0.183        1.0     0.254466     0.004817     -0.142264    0.13793      -0.044968    0.236724     0.191411     0.158016     0.203871     
90      4.114079     4.108992     0.124        1.0     0.193632     -0.015341    -0.096772    0.154702     -0.040088    0.210148     0.149599     0.164357     0.279763     
91      4.151053     4.150214     0.02         1.0     0.454178     -0.010058    -0.329246    0.062458     -0.007332    0.388398     0.134047     0.108323     0.199231     
92      4.165963     4.170778     0.115        1.0     0.260917     -0.016008    -0.130581    0.181756     -0.053945    0.253043     0.191636     0.085377     0.227804     
93      4.197841     4.196835     0.024        1.0     0.358979     -0.026314    -0.19455     0.114521     -0.014704    0.252458     0.115671     0.123578     0.27036      
94      4.204266     4.21506      0.256        1.0     0.303575     -0.0081      -0.158568    0.081947     -0.017736    0.243265     0.136542     0.183658     0.235417     
95      4.221492     4.232332     0.256        1.0     0.246621     -0.006943    -0.173661    0.135303     -0.02384     0.260766     0.212184     0.090438     0.259132     
96      4.233328     4.236802     0.082        1.0     0.248829     -0.029123    -0.142016    0.15708      -0.015492    0.222421     0.235479     0.089494     0.233326     
97      4.24888      4.249426     0.013        1.0     0.28694      -0.014992    -0.151375    0.120623     -0.01244     0.203874     0.149698     0.171563     0.246109     
98      4.278986     4.278475     0.012        1.0     0.169033     -0.021862    -0.065633    0.236892     -0.060044    0.224139     0.299998     0.08488      0.132598     
99      4.289036     4.294674     0.131        1.0     0.205899     -0.015544    -0.086878    0.155116     -0.026393    0.159365     0.187068     0.126388     0.294978     
100     4.309774     4.312454     0.062        1.0     0.349096     -0.013895    -0.200417    0.120827     -0.016302    0.261331     0.183665     0.143964     0.17173      
101     4.32438      4.327209     0.065        1.0     0.258088     -0.016662    -0.143536    0.151681     -0.024044    0.228509     0.209629     0.126825     0.209509     
